Brand,Description,Image_URL,Product_ID,Discount_Price (in Rs.),Original_Price (in Rs.),Product_URL,Category_by_gender,Category
performax,Typographic Print Track Pants with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20220408/6Bbw/624f4cd0f997dd03e24e6fab/-286Wx359H-441136763-medgrey-MODEL.jpg,441136763008,974,"1,299",https://trends.ajio.com/performax-typographic-print-track-pants-with-insert-pockets/p/441136763_medgrey,Men,Activewear
performax,Low-Top Lace-Up Sports Shoes,https://assets.ajio.com/medias/sys_master/root/20210130/HAwg/60145a1daeb2696981598e35/-286Wx359H-450137679-grybrn-MODEL.jpg,450137679013,"1,499","1,499",https://trends.ajio.com/performax-low-top-lace-up-sports-shoes/p/450137679_grybrn,Men,Activewear
teamspirit,Colorblock Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20211202/gpRx/61a7c291f997ddf8f12c4fb4/-286Wx359H-441133214-navy-MODEL.jpg,441133214008,461,549,https://trends.ajio.com/teamspirit-colorblock-crew-neck-t-shirt/p/441133214_navy,Men,Activewear
performax,Camouflage Print Joggers with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20220505/Pp71/6273f50ff997dd03e2970bb5/-286Wx359H-441134776-olive-MODEL.jpg,441134776020,"1,189","1,699",https://trends.ajio.com/performax-camouflage-print-joggers-with-insert-pockets/p/441134776_olive,Men,Activewear
teamspirit,Reflective Colourblock Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220303/Wnd2/621fba29f997dd03e2fd2c32/-286Wx359H-441136539-olive-MODEL.jpg,441136539020,425,599,https://trends.ajio.com/teamspirit-reflective-colourblock-crew-neck-t-shirt/p/441136539_olive,Men,Activewear
teamspirit,Core Rib Joggers with Slip Pockets,https://assets.ajio.com/medias/sys_master/root/20220126/WYyD/61f04230f997dd66233c4ded/-286Wx359H-441031714-teal-MODEL.jpg,441031714064,503,599,https://trends.ajio.com/teamspirit-core-rib-joggers-with-slip-pockets/p/441031714_teal,Men,Activewear
teamspirit,Core Varsity Polo T-shirt with Contrast Tipping,https://assets.ajio.com/medias/sys_master/root/20210824/yBTE/6123fb787cdb8cb82402a080/-286Wx359H-441113673-turquoise-MODEL.jpg,441113673066,419,499,https://trends.ajio.com/teamspirit-core-varsity-polo-t-shirt-with-contrast-tipping/p/441113673_turquoise,Men,Activewear
performax,Typographic Print Running Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220505/LuCC/6273fa33f997dd03e297283d/-286Wx359H-441134760-darkgreen-MODEL.jpg,441134760014,489,699,https://trends.ajio.com/performax-typographic-print-running-crew-neck-t-shirt/p/441134760_darkgreen,Men,Activewear
performax,Panelled Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20211230/Zky6/61ccbe44aeb2690110233198/-286Wx359H-441129796-jetblack-MODEL.jpg,441129796003,419,699,https://trends.ajio.com/performax-panelled-crew-neck-t-shirt/p/441129796_jetblack,Men,Activewear
teamspirit,Core rib bottom track charcoal xs,https://assets.ajio.com/medias/sys_master/root/20210831/T5MA/612d54d8f997ddce89b3be5c/-286Wx359H-441031714-charcoal-MODEL.jpg,441031714044,503,599,https://trends.ajio.com/teamspirit-core-rib-bottom-track-charcoal-xs/p/441031714_charcoal,Men,Activewear
performax,Logo Print Track Pants with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20220408/MBlw/624f322ff997dd03e24ddbd9/-286Wx359H-441134769-darkblue-MODEL.jpg,441134769018,909,"1,299",https://trends.ajio.com/performax-logo-print-track-pants-with-insert-pockets/p/441134769_darkblue,Men,Activewear
performax,Joggers with Zippered Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20220114/OIys/61e19f78f997dd6623223bf7/-286Wx359H-441129823-jetblack-MODEL.jpg,441129823008,650,"1,299",https://trends.ajio.com/performax-joggers-with-zippered-insert-pockets/p/441129823_jetblack,Men,Activewear
performax,Flat-Front Shorts with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20220408/KNQB/624f2fcdf997dd03e24dd19d/-286Wx359H-441134817-medgrey-MODEL.jpg,441134817008,559,799,https://trends.ajio.com/performax-flat-front-shorts-with-insert-pockets/p/441134817_medgrey,Men,Activewear
performax,Straight Running Track Pants with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20220128/uIkf/61f40763aeb2695cdd3887e1/-286Wx359H-441129541-jetblack-MODEL.jpg,441129541003,750,"1,499",https://trends.ajio.com/performax-straight-running-track-pants-with-insert-pockets/p/441129541_jetblack,Men,Activewear
performax,Typographic Print Quick-dry Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220114/L59s/61e1a773f997dd66232258c5/-286Wx359H-441129778-jetblack-MODEL.jpg,441129778003,350,699,https://trends.ajio.com/performax-typographic-print-quick-dry-crew-neck-t-shirt/p/441129778_jetblack,Men,Activewear
performax,Dot Print Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220120/krOD/61e98207aeb2695cdd2243e5/-286Wx359H-441129796-ltgreen-MODEL.jpg,441129796018,419,699,https://trends.ajio.com/performax-dot-print-crew-neck-t-shirt/p/441129796_ltgreen,Men,Activewear
teamspirit,Core Varsity Polo T-shirt with Contrast Tipping,https://assets.ajio.com/medias/sys_master/root/20220322/V40A/6238dd87f997dd03e2248011/-286Wx359H-441113673-mustard-MODEL.jpg,441113673015,419,499,https://trends.ajio.com/teamspirit-core-varsity-polo-t-shirt-with-contrast-tipping/p/441113673_mustard,Men,Activewear
performax,Brand Print Shorts with Elasticated Waist,https://assets.ajio.com/medias/sys_master/root/20220315/lTiy/622f9766f997dd03e212065e/-286Wx359H-441134834-jetblack-MODEL.jpg,441134834011,974,"1,299",https://trends.ajio.com/performax-brand-print-shorts-with-elasticated-waist/p/441134834_jetblack,Men,Activewear
teamspirit,Mid-Rise Cropped Slim Fit Track Pants with Elasticated Drawstring Waist,https://assets.ajio.com/medias/sys_master/root/20211207/k94c/61ae5b62f997ddf8f139d9ae/-286Wx359H-441133287-petrol-MODEL.jpg,441133287016,584,899,https://trends.ajio.com/teamspirit-mid-rise-cropped-slim-fit-track-pants-with-elasticated-drawstring-waist/p/441133287_petrol,Men,Activewear
performax,Brand Print Straight Trackpants with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20220315/dLrB/622f97caaeb26921afd7ba45/-286Wx359H-441134836-jetblack-MODEL.jpg,441134836003,974,"1,299",https://trends.ajio.com/performax-brand-print-straight-trackpants-with-insert-pockets/p/441134836_jetblack,Men,Activewear
teamspirit,Reflective Print Coordinate Joggers,https://assets.ajio.com/medias/sys_master/root/20211202/kix4/61a7f871aeb2690110eafbe3/-286Wx359H-441133896-olive-MODEL.jpg,441133896009,649,999,https://trends.ajio.com/teamspirit-reflective-print-coordinate-joggers/p/441133896_olive,Men,Activewear
teamspirit,Auto Striper Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220407/emvY/624ddd31f997dd03e24bd624/-286Wx359H-441143985-white-MODEL.jpg,441143985005,461,549,https://trends.ajio.com/teamspirit-auto-striper-crew-neck-t-shirt/p/441143985_white,Men,Activewear
performax,Typographic Print Shorts with Contrast Taping,https://assets.ajio.com/medias/sys_master/root/20220303/guCL/621fcbf2aeb26921afc3fbc3/-286Wx359H-441134786-jetblack-MODEL.jpg,441134786003,599,799,https://trends.ajio.com/performax-typographic-print-shorts-with-contrast-taping/p/441134786_jetblack,Men,Activewear
teamspirit,Heathered Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/h99/hce/13480453013534/-286Wx359H-441000453-ltblue-MODEL.jpg,441000453022,335,399,https://trends.ajio.com/teamspirit-heathered-crew-neck-t-shirt/p/441000453_ltblue,Men,Activewear
teamspirit,Straight Track Pants with Contrast Piping,https://assets.ajio.com/medias/sys_master/root/h88/h08/15084552323102/-286Wx359H-441031715-darkblue-MODEL.jpg,441031715042,503,599,https://trends.ajio.com/teamspirit-straight-track-pants-with-contrast-piping/p/441031715_darkblue,Men,Activewear
teamspirit,Colourblock Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220208/bCgf/62016f34aeb26921af8d5d45/-286Wx359H-441136488-white-MODEL.jpg,441136488005,419,499,https://trends.ajio.com/teamspirit-colourblock-crew-neck-t-shirt/p/441136488_white,Men,Activewear
teamspirit,Core Varsity Polo T-shirt with Contrast Tipping,https://assets.ajio.com/medias/sys_master/root/20210907/RUuG/61368478f997ddce89be383b/-286Wx359H-441113673-pink-MODEL.jpg,441113673084,419,499,https://trends.ajio.com/teamspirit-core-varsity-polo-t-shirt-with-contrast-tipping/p/441113673_pink,Men,Activewear
teamspirit,Herringbone Mid-Rise Slim Fit Track Pants with Elasticated Drawstring Waist,https://assets.ajio.com/medias/sys_master/root/20211207/Eoni/61ae8648aeb2690110f898e0/-286Wx359H-441133897-ltgrey-MODEL.jpg,441133897002,584,899,https://trends.ajio.com/teamspirit-herringbone-mid-rise-slim-fit-track-pants-with-elasticated-drawstring-waist/p/441133897_ltgrey,Men,Activewear
performax,Graphic Print Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220224/xLOe/621692cdaeb26921afb33399/-286Wx359H-441134794-white-MODEL.jpg,441134794012,449,599,https://trends.ajio.com/performax-graphic-print-crew-neck-t-shirt/p/441134794_white,Men,Activewear
performax,Quickdry Unlined Running Windbreaker Jacket,https://assets.ajio.com/medias/sys_master/root/20220120/GaVT/61e9837faeb2695cdd226529/-286Wx359H-441110840-darkblue-MODEL.jpg,441110840008,599,999,https://trends.ajio.com/performax-quickdry-unlined-running-windbreaker-jacket/p/441110840_darkblue,Men,Activewear
